id,N,D,C,I,K,P,S,APAAC3,APAAC4,APAAC5,_SolventAccessibilityC3,_ChargeC2,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,label
Negative_174,3.237,5.576,1.439,1.619,3.058,10.252,9.353,2.17,3.737,0.964,0.308,0.781,0.131,0.396,0.466,0.322,0.437,0.195,0.016,0.175,0.164,0.137,0.13,0.36,2.877,0.742,0.835,1.578,5.289,4.825,0
Positive_135,4.182,3.273,1.636,5.273,4.909,4.727,6.909,1.841,1.441,0.72,0.258,0.811,0.084,0.258,0.307,0.355,0.333,0.202,0.027,0.107,0.197,0.237,0.158,0.364,1.679,0.839,2.704,2.518,2.424,3.543,1
Negative_352,3.929,5.714,5.0,5.714,8.929,5.0,5.714,3.414,4.964,4.344,0.261,0.743,0.107,0.307,0.414,0.307,0.368,0.265,0.047,0.14,0.251,0.176,0.204,1.429,2.85,2.494,2.85,4.453,2.494,2.85,0
Negative_522,5.714,5.714,3.673,5.306,1.633,2.857,8.163,6.523,6.523,4.193,0.237,0.804,0.131,0.314,0.408,0.437,0.351,0.246,0.016,0.213,0.221,0.123,0.201,1.224,3.058,1.966,2.84,0.874,1.529,4.369,0
Positive_1055,9.031,6.152,0.0,7.461,7.853,3.796,9.424,8.013,5.459,0.0,0.271,0.757,0.127,0.309,0.37,0.41,0.359,0.287,0.038,0.201,0.265,0.183,0.224,0.785,3.237,0.0,3.926,4.132,1.997,4.959,1
Negative_447,2.857,5.357,2.857,2.857,4.643,8.214,7.5,2.62,4.912,2.62,0.243,0.754,0.132,0.307,0.389,0.4,0.339,0.28,0.025,0.19,0.24,0.125,0.222,1.786,2.717,1.449,1.449,2.355,4.166,3.804,0
Negative_882,2.885,0.0,2.885,1.923,5.769,5.769,7.692,1.785,0.0,1.785,0.183,0.904,0.038,0.471,0.5,0.404,0.481,0.204,0.0,0.078,0.126,0.097,0.117,2.885,0.0,1.824,1.216,3.647,3.647,4.863,0
Negative_1107,2.632,2.392,1.435,3.349,2.392,7.656,4.306,1.389,1.262,0.757,0.251,0.864,0.06,0.349,0.388,0.359,0.411,0.199,0.017,0.094,0.158,0.165,0.127,0.718,1.258,0.755,1.762,1.258,4.028,2.265,0
Negative_434,3.528,6.11,3.701,4.389,6.11,5.68,7.401,2.208,3.824,2.316,0.264,0.72,0.139,0.287,0.385,0.355,0.337,0.279,0.034,0.172,0.272,0.194,0.233,0.172,3.056,1.851,2.195,3.056,2.841,3.702,0
Positive_1090,5.488,2.134,2.439,5.793,5.793,4.573,8.232,2.699,1.05,1.2,0.284,0.875,0.04,0.284,0.329,0.378,0.338,0.211,0.009,0.07,0.202,0.226,0.174,0.915,1.185,1.355,3.218,3.218,2.54,4.573,1
Negative_225,0.662,3.974,2.649,3.311,3.311,15.232,8.609,0.62,3.719,2.479,0.364,0.841,0.079,0.45,0.517,0.278,0.49,0.18,0.013,0.12,0.167,0.16,0.127,1.987,2.172,1.448,1.81,1.81,8.326,4.706,0
Negative_233,4.564,2.49,5.809,4.979,5.394,2.905,14.938,4.555,2.485,5.797,0.303,0.83,0.087,0.311,0.394,0.373,0.369,0.196,0.029,0.121,0.217,0.196,0.183,1.245,1.335,3.115,2.67,2.892,1.558,8.01,0
Positive_658,2.804,6.168,1.308,2.804,5.421,3.925,5.421,2.387,5.252,1.114,0.241,0.729,0.15,0.301,0.376,0.357,0.37,0.273,0.032,0.195,0.251,0.191,0.191,0.561,2.99,0.634,1.359,2.628,1.903,2.628,1
Negative_1194,0.0,0.0,11.111,0.0,0.0,1.587,14.286,0.0,0.0,7.792,0.397,0.952,0.0,0.492,0.603,0.048,0.714,0.032,0.0,0.0,0.081,0.016,0.032,17.46,0.0,5.4,0.0,0.0,0.771,6.943,0
Positive_442,3.62,4.072,2.262,4.072,10.407,6.335,4.977,3.218,3.62,2.011,0.249,0.769,0.104,0.267,0.33,0.376,0.339,0.259,0.036,0.155,0.277,0.255,0.223,1.81,2.097,1.165,2.097,5.36,3.263,2.563,1
Negative_129,2.752,2.752,2.752,3.67,4.587,4.587,8.257,2.57,2.57,2.57,0.248,0.789,0.092,0.321,0.376,0.422,0.33,0.241,0.037,0.111,0.231,0.148,0.213,4.587,1.427,1.427,1.904,2.379,2.379,4.283,0
Negative_39,3.704,1.852,0.0,9.259,1.852,3.704,14.815,2.888,1.444,0.0,0.389,0.907,0.056,0.426,0.444,0.352,0.519,0.113,0.019,0.094,0.094,0.17,0.038,11.111,1.06,0.0,5.298,1.06,2.119,8.477,0
Positive_544,3.3,4.373,3.135,6.518,5.281,5.528,10.066,2.42,3.207,2.299,0.291,0.802,0.097,0.366,0.441,0.328,0.419,0.216,0.025,0.144,0.196,0.15,0.156,0.165,2.322,1.664,3.46,2.804,2.935,5.344,1
Positive_497,3.408,4.456,1.311,3.014,1.835,7.602,7.077,3.274,4.28,1.259,0.287,0.837,0.09,0.362,0.419,0.336,0.438,0.222,0.016,0.144,0.194,0.148,0.151,0.262,2.298,0.676,1.555,0.947,3.921,3.65,1
Negative_998,2.198,7.692,5.495,0.0,5.495,2.198,4.396,0.745,2.608,1.863,0.187,0.56,0.319,0.176,0.308,0.473,0.22,0.3,0.067,0.267,0.289,0.2,0.267,3.297,4.007,2.862,0.0,2.862,1.145,2.29,0
Positive_915,2.457,4.915,1.512,5.671,1.701,6.616,6.994,1.482,2.964,0.912,0.244,0.79,0.123,0.342,0.406,0.367,0.384,0.227,0.019,0.163,0.165,0.15,0.148,0.756,2.516,0.774,2.903,0.871,3.386,3.58,1
Negative_727,3.297,1.923,3.022,6.044,3.846,5.495,9.341,1.564,0.912,1.434,0.291,0.879,0.049,0.349,0.398,0.341,0.409,0.165,0.011,0.077,0.146,0.174,0.121,0.824,1.044,1.64,3.281,2.088,2.983,5.071,0
Positive_194,3.598,6.061,0.758,6.061,6.629,5.492,7.008,3.052,5.141,0.643,0.29,0.769,0.117,0.294,0.362,0.343,0.373,0.237,0.038,0.171,0.233,0.205,0.18,0.568,3.048,0.381,3.048,3.334,2.762,3.524,1
Negative_1141,4.762,4.762,3.704,5.026,4.233,5.291,5.82,3.864,3.864,3.005,0.249,0.794,0.095,0.286,0.37,0.376,0.333,0.273,0.024,0.146,0.279,0.17,0.228,0.529,2.415,1.878,2.548,2.146,2.683,2.951,0
Positive_540,4.711,4.612,1.374,5.692,7.556,5.79,5.005,5.863,5.74,1.71,0.251,0.744,0.135,0.257,0.317,0.396,0.334,0.273,0.042,0.194,0.281,0.225,0.228,0.491,2.311,0.689,2.853,3.787,2.902,2.508,1
Positive_1175,4.031,5.271,2.326,5.426,7.132,4.341,6.667,2.274,2.974,1.312,0.245,0.698,0.178,0.253,0.329,0.425,0.309,0.287,0.04,0.23,0.28,0.211,0.238,0.31,2.734,1.206,2.814,3.699,2.252,3.458,1
Negative_1052,1.316,3.947,2.632,2.632,17.105,7.895,2.632,0.588,1.764,1.177,0.25,0.737,0.066,0.342,0.408,0.289,0.395,0.28,0.0,0.133,0.133,0.173,0.12,6.579,2.2,1.467,1.467,9.533,4.4,1.467,0
Negative_773,2.882,3.556,2.208,1.975,1.208,6.995,9.017,2.681,3.308,2.054,0.272,0.838,0.086,0.402,0.46,0.351,0.451,0.241,0.01,0.144,0.192,0.136,0.159,0.046,1.852,1.15,1.029,0.629,3.644,4.697,0
Negative_191,3.093,3.093,1.031,4.124,10.309,9.278,7.216,1.587,1.587,0.529,0.32,0.732,0.113,0.34,0.381,0.309,0.402,0.188,0.052,0.167,0.177,0.208,0.156,5.155,1.599,0.533,2.132,5.33,4.797,3.731,0
Positive_1167,2.561,4.717,1.887,4.313,3.504,2.83,7.682,1.338,2.465,0.986,0.235,0.794,0.116,0.327,0.394,0.333,0.383,0.224,0.027,0.143,0.177,0.197,0.142,0.27,2.392,0.957,2.187,1.777,1.435,3.895,1
Positive_374,5.327,3.874,3.148,7.506,3.874,2.906,7.022,2.838,2.064,1.677,0.24,0.835,0.085,0.283,0.354,0.402,0.344,0.226,0.022,0.133,0.194,0.172,0.16,0.726,2.081,1.691,4.031,2.081,1.561,3.771,1
Negative_1204,1.863,2.36,2.981,3.727,2.981,5.342,6.957,0.957,1.213,1.532,0.242,0.82,0.08,0.319,0.373,0.398,0.37,0.221,0.022,0.114,0.197,0.192,0.163,0.373,1.224,1.546,1.933,1.546,2.77,3.607,0
Positive_326,4.102,4.688,2.734,5.273,7.812,5.859,4.297,3.319,3.793,2.212,0.203,0.754,0.123,0.336,0.41,0.361,0.365,0.313,0.033,0.19,0.237,0.17,0.219,0.977,2.38,1.388,2.676,3.965,2.974,2.181,1
Positive_883,3.453,6.768,0.829,7.459,5.249,4.972,7.873,3.258,6.385,0.782,0.254,0.732,0.149,0.327,0.403,0.359,0.395,0.277,0.039,0.21,0.239,0.188,0.184,0.414,3.343,0.409,3.684,2.592,2.456,3.888,1
Negative_711,2.812,6.562,3.438,7.812,6.25,6.562,7.5,2.99,6.977,3.656,0.241,0.775,0.131,0.338,0.438,0.372,0.375,0.27,0.022,0.191,0.235,0.16,0.21,0.625,3.47,1.818,4.131,3.305,3.47,3.966,0
Negative_1231,2.604,2.083,6.25,1.562,4.688,12.5,17.188,1.387,1.11,3.33,0.401,0.802,0.052,0.464,0.547,0.224,0.51,0.152,0.01,0.094,0.12,0.089,0.105,2.083,1.141,3.424,0.856,2.569,6.849,9.417,0
Positive_180,2.215,4.983,1.772,4.43,6.645,5.759,6.645,2.196,4.941,1.757,0.275,0.782,0.105,0.324,0.392,0.342,0.389,0.253,0.033,0.161,0.227,0.192,0.184,0.443,2.521,0.896,2.241,3.361,2.913,3.361,1
Positive_872,3.488,7.267,1.89,5.523,7.267,8.285,7.703,1.765,3.677,0.956,0.27,0.702,0.183,0.315,0.407,0.362,0.372,0.274,0.031,0.237,0.239,0.179,0.191,0.436,3.817,0.993,2.901,3.817,4.352,4.046,1
Positive_166,3.012,5.12,2.711,4.217,4.367,3.916,5.873,3.151,5.356,2.836,0.252,0.779,0.111,0.351,0.429,0.325,0.422,0.281,0.023,0.173,0.226,0.16,0.172,0.602,2.556,1.353,2.105,2.18,1.955,2.931,1
Positive_248,5.161,4.516,0.645,7.742,8.387,4.516,7.097,6.222,5.444,0.778,0.265,0.761,0.116,0.277,0.329,0.368,0.361,0.305,0.019,0.175,0.279,0.195,0.24,2.581,2.243,0.32,3.845,4.165,2.243,3.525,1
Negative_849,3.04,2.128,3.04,6.079,4.255,3.191,7.751,1.562,1.093,1.562,0.233,0.85,0.071,0.345,0.397,0.375,0.38,0.209,0.014,0.117,0.164,0.18,0.151,0.304,1.151,1.645,3.289,2.302,1.727,4.194,0
Negative_932,3.571,3.333,3.333,3.095,6.429,3.571,9.524,2.645,2.469,2.469,0.248,0.786,0.105,0.39,0.457,0.333,0.436,0.255,0.024,0.172,0.174,0.141,0.153,0.952,1.773,1.773,1.646,3.42,1.9,5.067,0
Negative_514,2.115,4.231,1.731,1.538,3.654,10.577,9.038,1.282,2.564,1.049,0.312,0.777,0.135,0.398,0.458,0.331,0.44,0.206,0.023,0.17,0.148,0.114,0.129,0.769,2.219,0.908,0.807,1.917,5.548,4.74,0
Negative_18,3.797,6.329,2.532,2.532,2.532,10.127,7.595,6.854,11.424,4.57,0.291,0.81,0.089,0.405,0.494,0.253,0.456,0.179,0.013,0.167,0.167,0.128,0.141,2.532,3.15,1.26,1.26,1.26,5.04,3.78,0
Positive_958,4.802,4.299,2.848,8.487,6.7,4.188,7.147,2.62,2.346,1.554,0.227,0.788,0.102,0.258,0.329,0.401,0.296,0.239,0.021,0.151,0.228,0.203,0.201,0.279,2.252,1.492,4.445,3.509,2.194,3.743,1
Negative_941,2.025,4.81,4.81,5.57,6.076,5.316,7.848,2.067,4.911,4.911,0.299,0.765,0.127,0.299,0.395,0.349,0.385,0.244,0.023,0.185,0.256,0.183,0.19,0.759,2.512,2.512,2.909,3.173,2.776,4.098,0
Positive_973,2.667,3.733,2.133,7.2,6.4,3.733,7.467,1.674,2.343,1.339,0.269,0.789,0.104,0.291,0.349,0.4,0.349,0.243,0.032,0.15,0.235,0.201,0.198,1.067,1.98,1.131,3.818,3.394,1.98,3.96,1
Negative_427,2.044,3.407,2.385,3.237,2.555,7.325,6.985,2.203,3.671,2.57,0.264,0.821,0.087,0.363,0.421,0.366,0.417,0.256,0.026,0.131,0.212,0.171,0.177,1.363,1.754,1.228,1.667,1.316,3.772,3.597,0
Negative_757,2.869,3.074,2.664,5.738,2.664,4.918,12.09,1.723,1.846,1.6,0.299,0.838,0.07,0.375,0.432,0.359,0.422,0.166,0.027,0.105,0.154,0.133,0.14,0.82,1.652,1.432,3.084,1.432,2.643,6.497,0
Positive_488,3.545,4.851,1.493,4.104,4.291,6.903,8.209,3.945,5.399,1.662,0.3,0.825,0.088,0.358,0.422,0.326,0.427,0.222,0.013,0.14,0.198,0.166,0.159,0.373,2.514,0.774,2.127,2.224,3.578,4.255,1
Positive_855,4.878,6.208,1.33,7.095,3.548,4.656,7.539,4.268,5.431,1.164,0.275,0.778,0.122,0.297,0.373,0.39,0.364,0.233,0.042,0.167,0.238,0.189,0.193,0.443,3.192,0.684,3.648,1.824,2.394,3.876,1
Negative_506,2.632,5.263,2.851,1.535,8.991,8.553,8.553,1.282,2.564,1.389,0.241,0.711,0.121,0.349,0.43,0.316,0.377,0.273,0.018,0.158,0.207,0.156,0.189,0.658,2.689,1.457,0.784,4.593,4.37,4.37,0
Positive_590,5.163,5.354,1.147,4.971,5.163,4.398,3.633,7.102,7.365,1.578,0.224,0.774,0.124,0.319,0.384,0.371,0.379,0.297,0.021,0.193,0.245,0.186,0.209,0.574,2.673,0.573,2.481,2.577,2.195,1.813,1
Positive_20,1.944,4.167,3.611,4.444,4.167,4.444,9.444,1.061,2.273,1.97,0.278,0.842,0.072,0.333,0.411,0.347,0.394,0.167,0.017,0.117,0.15,0.153,0.117,0.556,2.238,1.94,2.387,2.238,2.387,5.073,1
Positive_330,3.625,3.927,1.511,5.136,5.438,4.23,6.042,3.289,3.564,1.371,0.23,0.776,0.109,0.363,0.417,0.366,0.414,0.279,0.027,0.136,0.233,0.155,0.191,1.511,1.994,0.767,2.608,2.762,2.148,3.068,1
Negative_804,2.857,5.143,2.857,5.714,2.286,9.143,4.571,2.226,4.007,2.226,0.263,0.8,0.114,0.337,0.417,0.36,0.383,0.23,0.04,0.178,0.218,0.172,0.178,2.286,2.678,1.488,2.975,1.19,4.761,2.38,0
Positive_825,6.122,8.163,0.68,3.401,10.884,2.721,6.803,1.213,1.617,0.135,0.17,0.565,0.259,0.252,0.34,0.415,0.265,0.24,0.089,0.226,0.164,0.164,0.158,2.041,4.408,0.367,1.837,5.878,1.469,3.674,1
Negative_1251,4.054,3.153,3.604,4.054,7.658,5.856,9.009,3.618,2.814,3.216,0.288,0.766,0.095,0.297,0.365,0.374,0.374,0.267,0.032,0.149,0.253,0.186,0.208,0.901,1.644,1.879,2.113,3.992,3.052,4.696,0
Negative_293,0.0,4.878,2.439,1.22,1.22,9.756,7.317,0.0,3.259,1.629,0.305,0.829,0.098,0.366,0.439,0.354,0.402,0.173,0.025,0.173,0.136,0.136,0.123,8.537,2.599,1.299,0.65,0.65,5.198,3.898,0
Negative_1023,1.963,4.996,3.033,3.479,2.498,5.62,6.869,2.275,5.789,3.514,0.256,0.815,0.098,0.36,0.44,0.337,0.424,0.233,0.017,0.157,0.206,0.171,0.161,0.357,2.526,1.533,1.759,1.263,2.841,3.473,0
Negative_1240,4.054,4.73,1.351,3.378,4.73,4.054,8.108,2.253,2.629,0.751,0.25,0.723,0.128,0.324,0.385,0.365,0.372,0.279,0.02,0.15,0.211,0.17,0.184,2.027,2.324,0.664,1.66,2.324,1.992,3.984,0
Negative_257,3.101,3.101,3.101,3.101,4.651,6.202,6.202,4.922,4.922,4.922,0.233,0.783,0.093,0.411,0.473,0.31,0.45,0.219,0.023,0.086,0.148,0.125,0.117,3.876,1.527,1.527,1.527,2.291,3.054,3.054,0
Positive_902,4.453,5.466,0.405,3.644,4.049,1.417,10.931,3.087,3.789,0.281,0.225,0.745,0.152,0.354,0.413,0.397,0.383,0.327,0.02,0.243,0.256,0.118,0.237,0.607,2.824,0.209,1.882,2.092,0.732,5.647,1
Positive_942,3.175,5.442,1.587,5.896,2.948,4.535,9.297,2.198,3.767,1.099,0.272,0.825,0.104,0.283,0.354,0.415,0.349,0.227,0.016,0.17,0.218,0.193,0.184,0.454,2.886,0.842,3.127,1.563,2.405,4.93,1
Negative_380,1.567,3.786,2.35,1.175,2.48,5.744,7.18,1.651,3.989,2.476,0.23,0.778,0.11,0.379,0.44,0.381,0.418,0.322,0.02,0.176,0.231,0.131,0.209,0.783,1.892,1.174,0.587,1.239,2.87,3.588,0
Negative_722,3.608,4.381,3.351,5.412,5.928,3.351,6.186,3.412,4.143,3.169,0.242,0.758,0.111,0.327,0.405,0.327,0.397,0.297,0.018,0.173,0.24,0.158,0.189,0.515,2.149,1.643,2.654,2.907,1.643,3.034,0
Negative_357,3.143,4.857,6.0,2.857,2.0,6.857,5.714,2.374,3.668,4.532,0.266,0.766,0.16,0.343,0.451,0.371,0.389,0.223,0.026,0.215,0.212,0.143,0.183,0.571,2.649,3.272,1.558,1.091,3.74,3.116,0
Positive_1112,4.42,1.934,3.591,7.459,1.934,6.077,6.63,2.204,0.964,1.791,0.24,0.876,0.047,0.323,0.378,0.39,0.39,0.183,0.003,0.086,0.166,0.166,0.119,0.829,1.033,1.919,3.986,1.033,3.247,3.543,1
Negative_1085,2.282,4.565,2.71,5.136,5.136,6.277,5.706,2.015,4.031,2.393,0.274,0.777,0.12,0.334,0.407,0.332,0.404,0.267,0.024,0.184,0.213,0.17,0.18,0.428,2.293,1.361,2.58,2.58,3.153,2.867,0
Positive_800,1.875,11.875,0.625,6.25,5.625,1.25,4.375,1.112,7.043,0.371,0.181,0.619,0.281,0.25,0.375,0.375,0.269,0.403,0.038,0.365,0.283,0.201,0.277,2.5,5.811,0.306,3.058,2.753,0.612,2.141,1
Negative_388,2.357,5.387,2.02,3.03,6.397,9.428,6.061,2.776,6.345,2.379,0.263,0.774,0.118,0.357,0.431,0.37,0.397,0.243,0.024,0.179,0.203,0.166,0.166,1.01,2.83,1.061,1.592,3.36,4.952,3.184,0
Negative_691,5.696,1.899,5.063,7.595,7.595,4.43,5.696,3.292,1.098,2.927,0.234,0.766,0.089,0.247,0.316,0.424,0.304,0.223,0.032,0.121,0.191,0.204,0.166,1.266,0.978,2.609,3.913,3.913,2.283,2.935,0
Positive_947,7.391,3.043,2.391,9.13,5.217,5.87,6.304,3.027,1.246,0.979,0.239,0.822,0.072,0.265,0.32,0.433,0.307,0.2,0.024,0.098,0.198,0.231,0.166,0.435,1.651,1.297,4.954,2.831,3.185,3.42,1
Negative_852,1.62,1.157,2.315,2.778,3.241,4.63,8.333,0.99,0.707,1.415,0.269,0.863,0.053,0.368,0.403,0.343,0.417,0.186,0.005,0.097,0.146,0.158,0.123,1.852,0.609,1.219,1.463,1.707,2.439,4.389,0
Positive_1117,4.956,4.956,1.144,4.828,5.21,4.701,5.972,5.195,5.195,1.199,0.226,0.779,0.121,0.274,0.335,0.435,0.325,0.305,0.023,0.193,0.271,0.202,0.233,0.381,2.548,0.588,2.482,2.678,2.417,3.07,1
Positive_657,5.096,2.548,0.955,6.688,7.006,3.503,6.369,2.779,1.39,0.521,0.271,0.844,0.057,0.268,0.303,0.354,0.354,0.204,0.022,0.089,0.22,0.243,0.16,0.955,1.309,0.491,3.436,3.6,1.8,3.272,1
Negative_1308,3.217,4.558,2.145,6.166,6.166,5.362,7.775,3.506,4.968,2.338,0.249,0.788,0.088,0.33,0.397,0.373,0.373,0.301,0.011,0.145,0.237,0.191,0.226,1.072,2.302,1.083,3.114,3.114,2.708,3.927,0
Positive_1089,4.592,7.653,2.041,7.143,10.204,3.061,5.612,2.795,4.658,1.242,0.184,0.679,0.168,0.245,0.342,0.398,0.281,0.328,0.062,0.226,0.267,0.215,0.241,1.531,3.771,1.006,3.519,5.028,1.508,2.765,1
Positive_269,5.118,2.756,2.953,6.693,5.118,5.512,4.528,3.093,1.666,1.785,0.274,0.825,0.075,0.26,0.317,0.372,0.344,0.213,0.018,0.12,0.225,0.219,0.168,0.394,1.431,1.533,3.475,2.658,2.862,2.351,1
Positive_116,3.526,3.846,0.962,5.449,6.731,4.167,5.449,3.714,4.051,1.013,0.186,0.804,0.103,0.381,0.429,0.413,0.401,0.299,0.013,0.174,0.193,0.106,0.18,0.962,2.071,0.518,2.935,3.625,2.244,2.935,1
Positive_953,3.691,7.215,2.852,5.034,5.369,5.034,7.215,3.589,7.015,2.773,0.262,0.737,0.149,0.268,0.369,0.352,0.336,0.282,0.032,0.217,0.267,0.2,0.222,0.336,3.594,1.421,2.508,2.675,2.508,3.594,1
Positive_586,6.54,6.54,0.545,7.629,9.537,3.542,2.997,6.673,6.673,0.556,0.229,0.728,0.139,0.223,0.294,0.381,0.327,0.284,0.049,0.199,0.32,0.238,0.232,1.362,3.189,0.266,3.72,4.65,1.727,1.461,1
Positive_226,2.348,5.587,1.7,4.372,4.13,6.397,4.372,1.935,4.604,1.401,0.238,0.763,0.12,0.351,0.423,0.321,0.415,0.256,0.03,0.168,0.216,0.169,0.176,0.648,2.742,0.834,2.146,2.027,3.14,2.146,1
Positive_638,3.153,5.405,0.0,7.207,10.36,4.955,6.757,3.254,5.578,0.0,0.23,0.703,0.144,0.243,0.297,0.405,0.302,0.317,0.041,0.195,0.299,0.24,0.258,1.351,2.635,0.0,3.514,5.051,2.416,3.295,1
Positive_838,4.25,5.25,0.25,4.25,6.5,3.5,6.25,4.592,5.673,0.27,0.23,0.797,0.1,0.362,0.417,0.343,0.393,0.291,0.025,0.16,0.211,0.19,0.188,0.75,2.684,0.128,2.172,3.323,1.789,3.195,1
Negative_712,1.351,4.955,1.802,1.802,2.252,6.306,7.207,1.616,5.927,2.156,0.239,0.788,0.126,0.369,0.437,0.365,0.414,0.244,0.018,0.199,0.217,0.122,0.186,0.901,2.472,0.899,0.899,1.123,3.146,3.595,0
Positive_232,2.556,6.709,1.597,6.07,4.792,7.348,4.792,2.175,5.71,1.359,0.256,0.751,0.128,0.297,0.38,0.345,0.361,0.298,0.042,0.17,0.279,0.212,0.234,0.639,3.26,0.776,2.949,2.328,3.57,2.328,1
Negative_139,3.2,2.4,6.4,6.4,1.6,13.6,1.6,1.939,1.455,3.879,0.304,0.872,0.048,0.384,0.472,0.28,0.48,0.137,0.008,0.073,0.145,0.113,0.105,4.0,1.294,3.452,3.452,0.863,7.335,0.863,0
Positive_1126,4.773,4.773,0.682,6.591,7.955,5.227,5.227,4.132,4.132,0.59,0.255,0.748,0.125,0.334,0.389,0.364,0.393,0.28,0.032,0.178,0.221,0.194,0.182,0.682,2.416,0.345,3.336,4.027,2.646,2.646,1
Negative_319,3.67,1.835,0.0,1.835,2.752,9.174,8.257,3.154,1.577,0.0,0.358,0.817,0.083,0.376,0.394,0.303,0.477,0.185,0.009,0.093,0.148,0.185,0.111,2.752,0.926,0.0,0.926,1.389,4.631,4.168,0
Negative_285,2.649,3.311,1.325,2.649,7.285,6.623,13.245,2.217,2.771,1.109,0.377,0.781,0.099,0.364,0.411,0.285,0.464,0.167,0.053,0.12,0.173,0.147,0.093,1.987,1.721,0.689,1.377,3.787,3.443,6.886,0
Negative_91,1.951,9.756,4.878,0.488,4.39,6.829,4.878,0.915,4.576,2.288,0.244,0.683,0.156,0.337,0.483,0.21,0.385,0.279,0.044,0.196,0.216,0.127,0.181,1.951,4.651,2.325,0.233,2.093,3.255,2.325,0
Positive_480,2.668,4.62,1.832,3.624,3.385,5.934,7.925,3.005,5.203,2.063,0.25,0.804,0.106,0.356,0.421,0.374,0.405,0.273,0.021,0.168,0.215,0.144,0.187,0.08,2.373,0.941,1.861,1.738,3.048,4.07,1
Positive_1048,2.196,5.988,0.798,6.786,2.794,8.383,7.784,1.395,3.804,0.507,0.277,0.794,0.116,0.307,0.375,0.387,0.363,0.234,0.028,0.184,0.202,0.222,0.17,0.599,3.077,0.41,3.487,1.436,4.307,4.0,1
Negative_1254,1.143,6.286,2.095,3.048,2.857,6.857,6.857,0.718,3.951,1.317,0.251,0.703,0.175,0.335,0.419,0.35,0.379,0.292,0.038,0.212,0.204,0.151,0.183,0.571,3.037,1.012,1.472,1.38,3.313,3.313,0
Positive_304,2.802,5.603,1.078,3.879,4.31,2.371,7.759,3.016,6.031,1.16,0.233,0.772,0.121,0.323,0.39,0.371,0.369,0.294,0.041,0.179,0.233,0.181,0.207,0.862,2.757,0.53,1.909,2.121,1.167,3.818,1
Negative_1273,1.471,5.392,4.412,2.941,2.451,8.824,10.294,0.942,3.454,2.826,0.279,0.824,0.108,0.407,0.505,0.314,0.441,0.192,0.005,0.172,0.128,0.103,0.099,1.471,2.89,2.364,1.576,1.313,4.729,5.516,0
Negative_726,2.174,4.348,1.863,3.649,1.32,6.599,6.211,2.357,4.713,2.02,0.255,0.817,0.099,0.39,0.452,0.346,0.445,0.268,0.015,0.166,0.2,0.134,0.162,0.311,2.231,0.956,1.872,0.677,3.386,3.187,0
Positive_193,4.027,4.474,1.23,6.935,7.718,2.908,9.396,4.307,4.785,1.316,0.248,0.767,0.112,0.31,0.367,0.399,0.359,0.284,0.027,0.172,0.253,0.195,0.222,0.224,2.294,0.631,3.556,3.958,1.491,4.818,1
Negative_334,4.211,0.0,1.053,5.263,6.316,21.053,13.684,4.562,0.0,1.141,0.474,0.884,0.042,0.474,0.484,0.316,0.526,0.191,0.0,0.085,0.16,0.149,0.149,4.211,0.0,0.645,3.222,3.867,12.89,8.378,0
Negative_853,0.617,1.543,2.469,4.012,1.543,6.173,6.173,0.329,0.822,1.315,0.21,0.873,0.074,0.367,0.407,0.438,0.401,0.176,0.009,0.127,0.149,0.142,0.118,0.926,0.87,1.392,2.262,0.87,3.481,3.481,0
Negative_855,0.99,2.97,1.98,1.485,3.465,5.446,9.406,1.088,3.264,2.176,0.292,0.787,0.079,0.351,0.401,0.337,0.421,0.269,0.02,0.129,0.209,0.159,0.169,1.98,1.447,0.965,0.724,1.689,2.654,4.584,0
Negative_1269,1.25,4.062,1.875,1.25,0.625,13.438,5.312,1.091,3.546,1.637,0.325,0.878,0.069,0.463,0.522,0.287,0.528,0.182,0.009,0.119,0.144,0.1,0.107,0.938,2.232,1.03,0.687,0.343,7.383,2.918,0
Negative_436,1.436,4.098,2.535,2.197,4.985,8.534,9.252,0.859,2.452,1.517,0.27,0.747,0.137,0.4,0.466,0.33,0.431,0.258,0.035,0.208,0.161,0.137,0.147,0.296,2.11,1.305,1.131,2.566,4.394,4.763,0
Positive_1209,1.389,5.278,0.833,5.278,8.889,4.167,7.778,1.246,4.736,0.747,0.25,0.756,0.108,0.306,0.367,0.378,0.364,0.253,0.036,0.159,0.256,0.192,0.203,0.833,2.693,0.425,2.693,4.535,2.126,3.968,1
Positive_817,2.796,5.161,1.075,4.946,6.022,3.656,8.817,1.931,3.564,0.742,0.312,0.781,0.097,0.282,0.344,0.327,0.355,0.218,0.026,0.134,0.218,0.233,0.183,0.43,2.606,0.543,2.498,3.041,1.846,4.452,1
Positive_1081,3.89,3.566,1.621,6.483,3.728,4.052,5.511,1.805,1.654,0.752,0.24,0.864,0.068,0.308,0.36,0.374,0.378,0.193,0.018,0.109,0.18,0.195,0.143,0.324,1.892,0.86,3.439,1.977,2.149,2.923,1
