id,N,D,C,I,K,P,S,APAAC3,APAAC4,APAAC5,_SolventAccessibilityC3,_ChargeC2,_ChargeC3,_PolarityC2,_NormalizedVDWVC1,_NormalizedVDWVC2,_HydrophobicityC2,_SolventAccessibilityT12,_ChargeT13,_ChargeT23,_PolarityT13,_NormalizedVDWVT23,_HydrophobicityT13,_PolarizabilityD2001,PAAC4,PAAC5,PAAC10,PAAC12,PAAC15,PAAC16,label
Positive_81,4.688,3.906,0.0,4.688,9.375,0.781,7.031,6.357,5.296,0.0,0.273,0.758,0.125,0.305,0.344,0.367,0.359,0.291,0.039,0.197,0.291,0.205,0.244,6.25,2.0,0.0,2.401,4.801,0.4,3.6,1
Negative_81,2.269,2.042,0.53,5.976,6.051,9.002,12.935,1.925,1.733,0.45,0.385,0.84,0.071,0.44,0.466,0.382,0.469,0.179,0.016,0.104,0.146,0.12,0.133,0.151,1.218,0.316,3.565,3.61,5.37,7.717,0
Positive_118,5.994,4.732,1.262,6.625,4.101,6.625,3.785,6.598,5.209,1.389,0.23,0.811,0.107,0.322,0.382,0.413,0.344,0.301,0.013,0.177,0.25,0.142,0.237,0.631,2.47,0.659,3.458,2.141,3.458,1.976,1
Positive_173,2.347,4.225,0.469,4.695,3.286,6.103,6.573,2.601,4.681,0.52,0.277,0.742,0.15,0.286,0.333,0.399,0.347,0.283,0.047,0.226,0.236,0.222,0.203,1.408,2.077,0.231,2.308,1.615,3.0,3.231,1
Negative_51,0.0,3.333,3.333,1.905,1.429,12.381,11.905,0.0,2.388,2.388,0.381,0.848,0.1,0.49,0.557,0.29,0.538,0.158,0.019,0.163,0.115,0.077,0.081,1.429,1.876,1.876,1.072,0.804,6.968,6.7,0
Negative_95,2.419,3.226,1.613,8.871,4.032,4.839,9.677,1.118,1.49,0.745,0.242,0.823,0.073,0.427,0.476,0.331,0.468,0.244,0.024,0.106,0.154,0.114,0.138,2.419,1.746,0.873,4.8,2.182,2.618,5.236,0
Negative_84,3.206,4.409,1.804,2.004,7.214,6.413,4.008,2.466,3.392,1.388,0.242,0.717,0.112,0.299,0.361,0.367,0.349,0.321,0.054,0.163,0.273,0.207,0.241,0.601,2.13,0.872,0.968,3.485,3.098,1.936,0
Negative_214,0.0,6.897,4.598,1.149,3.448,3.448,6.897,0.0,2.418,1.612,0.23,0.724,0.161,0.264,0.379,0.368,0.322,0.256,0.023,0.163,0.198,0.105,0.186,5.747,3.662,2.442,0.61,1.831,1.831,3.662,0
Positive_61,5.357,5.952,1.19,8.929,6.25,5.655,3.571,5.687,6.318,1.263,0.208,0.777,0.11,0.31,0.381,0.405,0.357,0.304,0.033,0.164,0.254,0.164,0.233,1.19,3.034,0.607,4.551,3.186,2.882,1.82,1
Positive_169,2.198,3.846,0.549,5.495,2.198,7.143,8.242,1.891,3.308,0.472,0.28,0.835,0.093,0.473,0.516,0.33,0.505,0.166,0.022,0.144,0.127,0.072,0.11,1.648,2.1,0.3,3.0,1.2,3.899,4.499,1
Negative_113,5.019,5.148,3.346,4.376,8.237,6.435,11.326,3.452,3.541,2.301,0.283,0.746,0.113,0.324,0.409,0.35,0.372,0.244,0.023,0.183,0.215,0.187,0.183,0.257,2.676,1.74,2.275,4.282,3.345,5.888,0
Positive_91,4.62,7.591,4.95,3.96,6.601,5.941,2.31,3.825,6.284,4.098,0.218,0.713,0.188,0.244,0.37,0.393,0.307,0.278,0.04,0.272,0.278,0.192,0.228,1.65,3.988,2.601,2.081,3.468,3.121,1.214,1
Positive_122,4.82,5.141,1.285,5.334,4.627,4.82,5.463,5.37,5.728,1.432,0.231,0.79,0.117,0.337,0.402,0.388,0.393,0.292,0.022,0.186,0.221,0.156,0.183,0.257,2.64,0.66,2.739,2.376,2.475,2.805,1
Positive_138,6.094,6.371,0.831,6.648,5.54,2.216,5.817,7.268,7.598,0.991,0.244,0.787,0.116,0.271,0.343,0.413,0.346,0.289,0.019,0.208,0.253,0.233,0.197,0.554,3.226,0.421,3.366,2.805,1.122,2.946,1
Positive_195,6.569,6.752,0.0,4.562,6.569,3.102,6.752,6.094,6.263,0.0,0.268,0.805,0.108,0.35,0.418,0.347,0.436,0.267,0.024,0.181,0.219,0.176,0.161,1.277,3.563,0.0,2.408,3.467,1.637,3.563,1
Negative_188,2.03,1.523,2.538,5.584,8.629,5.584,10.66,1.083,0.812,1.354,0.264,0.807,0.071,0.36,0.401,0.381,0.381,0.23,0.015,0.107,0.163,0.133,0.153,1.015,0.835,1.391,3.06,4.728,3.06,5.841,0
Positive_25,4.478,8.955,2.985,1.99,5.473,2.488,5.97,4.233,8.464,2.821,0.204,0.731,0.139,0.279,0.398,0.318,0.328,0.31,0.035,0.205,0.25,0.185,0.21,1.99,4.23,1.41,0.94,2.585,1.175,2.82,1
Negative_122,1.244,2.488,2.239,2.736,1.99,15.423,7.214,1.138,2.275,2.048,0.351,0.843,0.05,0.565,0.612,0.211,0.6,0.167,0.012,0.087,0.072,0.057,0.057,1.493,1.305,1.175,1.435,1.044,8.092,3.785,0
Positive_189,4.203,4.362,2.696,4.837,4.203,3.807,6.899,2.389,2.479,1.532,0.229,0.796,0.103,0.32,0.391,0.372,0.374,0.245,0.025,0.147,0.217,0.177,0.183,0.555,2.297,1.42,2.548,2.214,2.005,3.634,1
Negative_195,4.082,2.857,7.755,2.041,5.714,6.531,4.49,3.427,2.399,6.511,0.2,0.735,0.106,0.298,0.404,0.351,0.343,0.299,0.02,0.168,0.225,0.18,0.193,2.857,1.402,3.805,1.001,2.804,3.205,2.203,0
Negative_222,4.724,3.15,0.787,1.378,3.543,11.122,12.303,3.88,2.587,0.646,0.352,0.856,0.07,0.448,0.487,0.336,0.495,0.187,0.015,0.109,0.144,0.13,0.119,0.197,1.85,0.462,0.809,2.08,6.53,7.224,0
Positive_206,1.058,6.878,0.0,6.349,0.529,6.878,5.82,0.904,5.879,0.0,0.275,0.767,0.132,0.397,0.466,0.317,0.46,0.239,0.032,0.223,0.165,0.133,0.128,2.116,3.346,0.0,3.089,0.257,3.346,2.832,1
Negative_232,1.587,3.175,1.27,1.27,1.587,5.714,8.571,1.832,3.664,1.466,0.26,0.775,0.102,0.441,0.486,0.279,0.498,0.232,0.029,0.15,0.182,0.146,0.14,0.952,1.504,0.601,0.601,0.752,2.706,4.059,0
Positive_93,3.373,5.754,1.587,4.167,4.365,4.762,5.952,3.656,6.237,1.72,0.234,0.764,0.113,0.335,0.409,0.339,0.393,0.31,0.026,0.173,0.239,0.159,0.213,0.397,2.805,0.774,2.031,2.128,2.321,2.901,1
Positive_129,10.526,3.828,0.478,6.22,4.306,3.349,8.134,11.349,4.127,0.515,0.301,0.852,0.067,0.354,0.397,0.349,0.435,0.274,0.005,0.13,0.245,0.168,0.197,0.478,1.948,0.243,3.165,2.191,1.704,4.14,1
Negative_65,1.075,3.226,0.717,2.509,0.717,11.111,5.376,0.692,2.078,0.462,0.233,0.728,0.108,0.437,0.477,0.258,0.48,0.273,0.032,0.155,0.18,0.126,0.147,1.434,1.433,0.319,1.115,0.319,4.937,2.389,0
Negative_45,3.828,2.088,1.624,4.872,7.193,8.237,9.513,3.382,1.845,1.435,0.309,0.827,0.068,0.418,0.455,0.398,0.432,0.214,0.024,0.094,0.181,0.132,0.174,0.232,1.221,0.95,2.849,4.206,4.816,5.562,0
Negative_76,1.487,2.602,2.23,6.32,8.178,7.435,10.037,1.166,2.041,1.749,0.323,0.796,0.078,0.454,0.502,0.249,0.52,0.187,0.019,0.116,0.157,0.146,0.104,0.743,1.378,1.181,3.346,4.33,3.936,5.314,0
Negative_29,1.786,4.96,1.984,2.976,5.754,10.913,7.341,1.272,3.533,1.413,0.319,0.8,0.075,0.415,0.484,0.284,0.47,0.217,0.02,0.103,0.173,0.137,0.147,0.595,2.579,1.032,1.547,2.992,5.675,3.817,0
Negative_38,3.71,6.714,2.65,3.357,4.24,7.951,12.898,3.495,6.325,2.496,0.314,0.786,0.106,0.373,0.466,0.297,0.419,0.221,0.023,0.175,0.198,0.136,0.172,0.53,3.441,1.358,1.721,2.173,4.075,6.611,0
Positive_156,1.81,3.167,4.977,0.905,2.715,11.312,9.05,1.051,1.84,2.891,0.303,0.774,0.104,0.344,0.425,0.321,0.38,0.255,0.023,0.168,0.241,0.159,0.214,0.905,1.622,2.549,0.464,1.391,5.794,4.636,1
Negative_186,1.534,2.301,0.92,1.38,2.914,19.632,8.589,1.148,1.722,0.688,0.374,0.833,0.066,0.578,0.61,0.222,0.604,0.183,0.017,0.112,0.098,0.083,0.086,0.46,1.27,0.508,0.762,1.608,10.837,4.741,0
Positive_14,3.478,2.609,0.87,7.826,2.609,6.957,5.217,1.152,0.864,0.288,0.278,0.896,0.07,0.278,0.313,0.452,0.304,0.184,0.009,0.123,0.202,0.184,0.184,1.739,1.555,0.519,4.665,1.555,4.147,3.11,1
Negative_20,1.101,5.321,0.734,2.936,2.752,7.89,10.275,0.565,2.729,0.376,0.295,0.776,0.128,0.402,0.462,0.358,0.437,0.228,0.026,0.167,0.173,0.149,0.149,0.55,2.827,0.39,1.56,1.462,4.191,5.458,0
Positive_134,3.258,7.519,0.0,3.509,2.757,5.514,3.008,3.388,7.82,0.0,0.271,0.759,0.135,0.316,0.391,0.316,0.409,0.291,0.03,0.216,0.271,0.176,0.193,0.501,3.62,0.0,1.689,1.327,2.655,1.448,1
Negative_22,2.542,3.39,4.237,4.237,5.085,9.322,5.932,1.554,2.072,2.59,0.314,0.78,0.102,0.356,0.432,0.305,0.458,0.154,0.043,0.128,0.128,0.111,0.085,1.695,1.746,2.183,2.183,2.619,4.802,3.056,0
Negative_178,1.455,4.909,1.455,3.818,4.182,12.364,9.818,0.869,2.932,0.869,0.324,0.762,0.147,0.387,0.451,0.358,0.427,0.197,0.026,0.14,0.175,0.124,0.151,0.364,2.67,0.791,2.076,2.274,6.724,5.339,0
Negative_231,0.0,0.0,20.339,0.0,5.085,16.102,21.186,0.0,0.0,12.72,0.432,0.898,0.008,0.534,0.737,0.127,0.568,0.111,0.0,0.017,0.111,0.017,0.094,2.542,0.0,13.777,0.0,3.444,10.907,14.35,0
Negative_58,1.379,4.368,1.379,1.609,2.299,14.253,11.034,0.938,2.972,0.938,0.324,0.754,0.124,0.503,0.561,0.253,0.524,0.233,0.025,0.177,0.108,0.092,0.104,0.46,2.237,0.706,0.824,1.177,7.3,5.651,0
Positive_64,3.252,4.553,1.138,6.179,3.577,7.48,4.715,3.407,4.77,1.192,0.218,0.779,0.115,0.335,0.392,0.413,0.38,0.316,0.033,0.171,0.238,0.181,0.212,0.325,2.3,0.575,3.121,1.807,3.778,2.382,1
Positive_221,3.059,4.971,3.633,6.119,6.119,4.971,9.178,2.605,4.232,3.093,0.272,0.765,0.122,0.312,0.398,0.358,0.369,0.266,0.027,0.192,0.243,0.188,0.205,0.382,2.6,1.9,3.2,3.2,2.6,4.8,1
Negative_196,1.789,3.181,2.883,1.889,3.579,16.402,8.549,1.307,2.324,2.106,0.353,0.804,0.095,0.513,0.574,0.244,0.567,0.192,0.018,0.145,0.128,0.089,0.1,0.596,1.754,1.59,1.042,1.974,9.044,4.714,0
Negative_179,4.138,2.069,3.448,3.448,0.69,6.207,15.172,3.336,1.668,2.78,0.366,0.855,0.069,0.455,0.51,0.31,0.51,0.188,0.007,0.104,0.132,0.139,0.118,1.379,1.119,1.865,1.865,0.373,3.357,8.207,0
Positive_117,2.941,5.882,4.412,2.941,11.765,2.941,7.353,5.106,10.212,7.66,0.279,0.735,0.132,0.309,0.412,0.338,0.368,0.239,0.0,0.254,0.254,0.164,0.224,2.941,3.097,2.323,1.548,6.194,1.548,3.871,1
Negative_154,2.907,2.907,2.326,2.907,4.07,9.884,11.628,1.495,1.495,1.196,0.372,0.855,0.07,0.384,0.436,0.337,0.471,0.164,0.018,0.111,0.158,0.146,0.123,1.744,1.652,1.322,1.652,2.313,5.617,6.608,0
Positive_10,4.462,3.937,2.1,9.449,7.874,4.199,8.661,3.963,3.496,1.865,0.252,0.793,0.094,0.318,0.378,0.399,0.36,0.255,0.024,0.129,0.237,0.184,0.211,1.312,2.053,1.095,4.927,4.106,2.189,4.516,1
Negative_150,3.211,5.734,2.064,4.014,3.899,11.124,10.321,3.058,5.461,1.966,0.339,0.796,0.109,0.359,0.437,0.366,0.401,0.231,0.03,0.165,0.217,0.168,0.189,0.344,3.145,1.132,2.201,2.138,6.101,5.66,0
Positive_106,5.23,7.741,0.628,5.858,4.812,6.695,6.695,5.209,7.71,0.625,0.285,0.77,0.138,0.337,0.421,0.32,0.416,0.26,0.027,0.224,0.231,0.18,0.178,0.628,3.92,0.318,2.966,2.437,3.39,3.39,1
Negative_192,1.55,2.842,2.584,1.292,1.034,13.695,8.527,1.516,2.779,2.527,0.292,0.845,0.088,0.494,0.548,0.315,0.522,0.228,0.018,0.142,0.161,0.106,0.145,0.775,1.564,1.422,0.711,0.569,7.534,4.691,0
Negative_190,3.365,3.846,5.769,3.846,6.25,6.25,9.856,2.96,3.383,5.074,0.3,0.755,0.12,0.32,0.416,0.305,0.394,0.239,0.031,0.195,0.219,0.166,0.186,1.202,1.97,2.955,1.97,3.201,3.201,5.048,0
Positive_17,5.047,3.925,1.495,5.794,6.355,5.607,6.542,5.528,4.299,1.637,0.254,0.809,0.09,0.363,0.417,0.359,0.4,0.285,0.022,0.142,0.199,0.165,0.18,0.748,2.059,0.784,3.04,3.334,2.942,3.432,1
Positive_216,4.292,4.292,0.858,3.648,5.579,4.721,7.082,4.32,4.32,0.864,0.277,0.805,0.094,0.337,0.388,0.358,0.408,0.234,0.022,0.146,0.2,0.168,0.163,0.644,2.205,0.441,1.874,2.866,2.425,3.638,1
Negative_92,2.399,4.982,1.845,0.923,2.214,12.546,9.041,1.934,4.016,1.487,0.292,0.775,0.111,0.41,0.478,0.341,0.448,0.277,0.024,0.172,0.211,0.131,0.185,0.554,2.527,0.936,0.468,1.123,6.364,4.586,0
Negative_77,2.745,2.353,3.137,2.353,5.49,7.451,10.98,2.024,1.735,2.313,0.318,0.839,0.043,0.439,0.494,0.278,0.475,0.209,0.012,0.059,0.138,0.13,0.126,3.137,1.267,1.69,1.267,2.957,4.013,5.914,0
Positive_49,12.234,1.596,1.064,9.043,12.234,0.532,4.787,13.511,1.763,1.175,0.213,0.745,0.122,0.197,0.223,0.479,0.282,0.358,0.053,0.182,0.342,0.262,0.289,1.064,0.823,0.549,4.663,6.308,0.274,2.468,1
Positive_135,2.694,6.397,1.347,6.902,6.734,5.387,3.03,2.695,6.4,1.348,0.195,0.769,0.133,0.382,0.46,0.352,0.424,0.3,0.025,0.224,0.211,0.137,0.18,0.505,3.335,0.702,3.598,3.511,2.808,1.58,1
Positive_89,5.706,4.505,2.402,2.703,6.306,3.604,6.907,5.746,4.537,2.419,0.261,0.766,0.132,0.318,0.387,0.321,0.387,0.22,0.024,0.205,0.208,0.187,0.166,0.601,2.245,1.197,1.347,3.142,1.796,3.441,1
Positive_32,2.299,1.724,0.575,6.897,1.149,2.299,5.747,0.792,0.594,0.198,0.224,0.897,0.075,0.316,0.339,0.437,0.379,0.133,0.012,0.116,0.121,0.197,0.087,2.874,0.943,0.314,3.772,0.628,1.257,3.143,1
Positive_201,5.303,3.788,1.515,6.818,13.636,0.758,6.061,4.928,3.52,1.408,0.22,0.705,0.106,0.288,0.341,0.371,0.303,0.321,0.015,0.168,0.26,0.168,0.244,2.273,1.84,0.736,3.313,6.625,0.368,2.945,1
Positive_127,1.099,4.396,7.692,3.297,20.879,4.396,2.198,0.53,2.118,3.706,0.176,0.681,0.11,0.308,0.429,0.22,0.374,0.333,0.022,0.156,0.233,0.156,0.2,4.396,2.312,4.046,1.734,10.983,2.312,1.156,1
Positive_147,1.807,3.313,0.602,3.012,3.313,4.819,1.506,1.9,3.484,0.633,0.148,0.738,0.133,0.349,0.389,0.401,0.38,0.353,0.039,0.202,0.239,0.169,0.211,0.602,1.561,0.284,1.42,1.561,2.271,0.71,1
Positive_55,3.31,8.537,0.697,4.53,1.568,5.923,6.794,3.533,9.111,0.744,0.26,0.796,0.132,0.38,0.472,0.329,0.429,0.241,0.023,0.211,0.178,0.14,0.147,0.348,4.324,0.353,2.294,0.794,3.0,3.441,1
Negative_112,0.733,3.663,1.832,2.564,4.212,10.806,7.326,0.533,2.661,1.331,0.289,0.74,0.11,0.397,0.452,0.315,0.43,0.261,0.026,0.172,0.206,0.167,0.178,0.366,1.835,0.918,1.284,2.11,5.412,3.669,0
Positive_158,3.597,7.194,0.0,3.957,2.158,4.676,5.396,4.214,8.429,0.0,0.259,0.802,0.129,0.392,0.464,0.309,0.464,0.235,0.018,0.206,0.191,0.112,0.144,0.719,3.607,0.0,1.984,1.082,2.345,2.706,1
Positive_92,6.053,4.6,0.969,4.6,5.085,5.811,6.538,7.638,5.804,1.223,0.242,0.785,0.111,0.324,0.38,0.373,0.375,0.274,0.029,0.17,0.243,0.211,0.206,0.726,2.29,0.482,2.29,2.531,2.892,3.254,1
Positive_54,9.202,6.692,0.76,10.19,8.137,4.03,7.529,10.481,7.622,0.866,0.261,0.77,0.12,0.259,0.333,0.414,0.329,0.283,0.034,0.18,0.291,0.226,0.236,0.152,3.458,0.393,5.266,4.205,2.083,3.891,1
Negative_234,0.0,0.847,19.492,0.0,5.085,13.559,22.034,0.0,0.523,12.043,0.441,0.907,0.008,0.542,0.746,0.102,0.602,0.094,0.0,0.017,0.085,0.009,0.085,2.542,0.593,13.654,0.0,3.562,9.498,15.435,0
Positive_18,1.587,3.704,0.0,6.878,5.291,6.349,4.233,1.513,3.531,0.0,0.254,0.741,0.111,0.307,0.344,0.333,0.392,0.293,0.037,0.186,0.239,0.223,0.191,3.175,1.712,0.0,3.179,2.446,2.935,1.957,1
Negative_131,3.571,5.952,1.19,3.571,4.762,4.762,22.619,4.008,6.68,1.336,0.357,0.81,0.095,0.405,0.476,0.31,0.44,0.169,0.024,0.12,0.157,0.084,0.12,4.762,3.102,0.62,1.861,2.482,2.482,11.787,0
Negative_116,1.272,1.527,2.29,0.763,2.545,12.977,9.16,0.734,0.882,1.322,0.318,0.809,0.061,0.481,0.519,0.267,0.506,0.186,0.005,0.099,0.105,0.094,0.094,0.763,0.78,1.17,0.39,1.3,6.628,4.679,0
Negative_183,2.89,7.225,0.578,3.468,2.312,8.96,10.694,3.06,7.65,0.612,0.272,0.769,0.11,0.387,0.465,0.335,0.419,0.264,0.009,0.183,0.188,0.125,0.177,1.156,3.566,0.285,1.712,1.141,4.423,5.279,0
Positive_114,3.889,5.278,0.278,3.333,6.111,7.222,2.5,3.761,5.104,0.269,0.289,0.814,0.094,0.392,0.447,0.306,0.464,0.265,0.028,0.145,0.206,0.159,0.156,0.556,2.792,0.147,1.763,3.232,3.82,1.322,1
Negative_147,2.64,2.97,1.32,0.99,1.32,6.601,8.251,2.909,3.273,1.455,0.281,0.815,0.076,0.386,0.429,0.33,0.452,0.252,0.01,0.123,0.222,0.182,0.185,1.65,1.481,0.658,0.494,0.658,3.291,4.113,0
Negative_198,0.929,4.025,4.644,1.238,2.477,9.598,7.74,0.635,2.75,3.173,0.297,0.777,0.108,0.443,0.529,0.241,0.511,0.224,0.022,0.183,0.168,0.099,0.121,1.858,2.1,2.423,0.646,1.292,5.008,4.038,0
Negative_221,2.888,4.874,2.166,2.527,3.069,11.191,11.552,2.215,3.738,1.661,0.332,0.791,0.121,0.412,0.482,0.343,0.442,0.201,0.024,0.193,0.17,0.121,0.152,0.722,2.659,1.182,1.379,1.674,6.105,6.302,0
Positive_78,3.351,6.443,0.0,6.443,6.186,3.866,4.381,2.538,4.879,0.0,0.219,0.716,0.149,0.314,0.379,0.379,0.363,0.287,0.039,0.22,0.24,0.152,0.214,1.031,3.144,0.0,3.144,3.018,1.886,2.138,1
Negative_40,2.308,3.462,8.077,2.692,3.077,10.769,8.077,1.587,2.38,5.553,0.335,0.8,0.096,0.365,0.481,0.277,0.435,0.193,0.023,0.147,0.178,0.124,0.127,1.538,1.844,4.302,1.434,1.639,5.736,4.302,0
Negative_119,1.327,4.204,3.097,1.77,3.319,9.956,7.743,1.069,3.388,2.496,0.294,0.816,0.088,0.381,0.454,0.354,0.425,0.217,0.016,0.135,0.188,0.129,0.153,0.664,2.253,1.66,0.949,1.779,5.336,4.15,0
Negative_111,0.604,4.532,0.906,0.302,6.647,14.502,7.251,0.154,1.157,0.231,0.266,0.644,0.166,0.441,0.495,0.272,0.45,0.245,0.085,0.173,0.1,0.133,0.1,2.719,2.281,0.456,0.152,3.345,7.298,3.649,0
Positive_82,4.192,5.09,0.299,3.593,6.287,8.383,4.79,5.604,6.805,0.4,0.257,0.781,0.102,0.35,0.404,0.326,0.41,0.261,0.03,0.15,0.219,0.168,0.186,1.198,2.503,0.147,1.767,3.092,4.123,2.356,1
Negative_170,1.43,3.448,3.785,1.43,3.364,11.522,6.981,1.227,2.958,3.248,0.282,0.807,0.099,0.426,0.498,0.308,0.469,0.235,0.025,0.148,0.158,0.137,0.131,0.168,1.801,1.977,0.747,1.757,6.02,3.647,0
Negative_34,3.548,4.516,0.323,3.871,4.839,7.742,9.677,2.492,3.171,0.227,0.345,0.761,0.126,0.397,0.445,0.339,0.448,0.168,0.029,0.191,0.159,0.136,0.126,6.774,2.433,0.174,2.085,2.607,4.171,5.213,0
Negative_93,2.5,4.375,4.062,2.5,2.5,3.75,7.187,1.544,2.701,2.508,0.244,0.847,0.078,0.278,0.362,0.366,0.353,0.185,0.025,0.097,0.219,0.172,0.157,1.25,2.283,2.119,1.304,1.304,1.957,3.75,0
Positive_108,0.552,7.735,1.105,4.42,0.0,3.315,4.972,0.662,9.275,1.325,0.254,0.796,0.11,0.365,0.453,0.298,0.436,0.294,0.0,0.2,0.233,0.161,0.189,2.21,3.634,0.519,2.076,0.0,1.557,2.336,1
Negative_205,0.809,4.207,4.045,1.942,6.472,12.945,7.282,0.489,2.544,2.446,0.317,0.731,0.108,0.409,0.492,0.236,0.476,0.25,0.036,0.16,0.147,0.146,0.125,0.324,2.096,2.015,0.967,3.224,6.449,3.628,0
Negative_83,0.993,3.974,3.974,3.311,2.98,7.616,6.623,0.948,3.796,3.796,0.225,0.742,0.132,0.334,0.414,0.348,0.368,0.266,0.033,0.199,0.213,0.153,0.193,2.318,1.884,1.884,1.57,1.413,3.611,3.14,0
Negative_31,4.762,5.882,1.961,2.801,7.563,6.162,9.804,3.35,4.138,1.38,0.291,0.748,0.126,0.347,0.426,0.333,0.389,0.228,0.037,0.183,0.183,0.16,0.163,1.681,3.09,1.03,1.471,3.973,3.237,5.15,0
Negative_203,2.952,0.369,8.118,3.69,10.701,3.321,9.225,1.975,0.247,5.432,0.306,0.742,0.085,0.288,0.373,0.292,0.395,0.263,0.041,0.126,0.259,0.241,0.196,0.738,0.191,4.206,1.912,5.545,1.721,4.78,0
Negative_180,1.269,4.372,0.564,3.949,1.834,10.719,18.759,1.056,3.639,0.469,0.464,0.828,0.109,0.592,0.642,0.233,0.622,0.144,0.01,0.194,0.075,0.052,0.068,0.423,2.615,0.337,2.362,1.097,6.41,11.218,0
Positive_165,4.521,6.649,1.33,7.447,4.255,3.457,6.915,5.949,8.749,1.75,0.245,0.761,0.152,0.25,0.33,0.431,0.314,0.293,0.037,0.229,0.283,0.189,0.227,2.128,3.347,0.669,3.749,2.142,1.74,3.481,1
Positive_183,4.832,6.303,2.101,5.672,8.613,5.672,7.353,4.464,5.823,1.941,0.246,0.733,0.128,0.271,0.355,0.374,0.321,0.286,0.04,0.196,0.288,0.196,0.255,0.63,3.129,1.043,2.816,4.276,2.816,3.65,1
Positive_56,4.59,6.25,1.562,3.809,1.953,6.055,5.859,6.14,8.361,2.09,0.261,0.793,0.123,0.318,0.396,0.357,0.382,0.293,0.02,0.201,0.251,0.17,0.212,0.391,3.072,0.768,1.872,0.96,2.976,2.879,1
Positive_137,0.273,5.738,1.913,1.639,1.913,3.279,6.011,0.275,5.79,1.93,0.21,0.787,0.117,0.421,0.497,0.306,0.467,0.26,0.036,0.189,0.173,0.159,0.145,0.546,2.846,0.949,0.813,0.949,1.627,2.982,1
Positive_38,3.969,5.378,1.408,4.225,3.329,4.481,5.378,4.171,5.652,1.48,0.255,0.802,0.115,0.333,0.401,0.396,0.389,0.245,0.014,0.186,0.228,0.165,0.19,0.512,2.839,0.743,2.23,1.757,2.366,2.839,1
Negative_10,2.096,4.316,2.466,2.096,4.809,7.768,10.604,1.549,3.189,1.822,0.282,0.762,0.126,0.393,0.461,0.346,0.433,0.24,0.033,0.181,0.178,0.128,0.147,0.247,2.282,1.304,1.108,2.543,4.108,5.607,0
Negative_132,1.411,4.178,1.139,2.767,4.069,10.364,8.464,1.171,3.467,0.945,0.301,0.778,0.122,0.421,0.474,0.346,0.457,0.264,0.026,0.191,0.183,0.139,0.162,0.271,2.227,0.607,1.475,2.169,5.525,4.512,0
Positive_68,3.846,3.846,2.198,5.495,7.143,5.22,5.495,4.04,4.04,2.309,0.239,0.783,0.104,0.365,0.426,0.36,0.426,0.253,0.019,0.146,0.174,0.14,0.138,0.549,1.99,1.137,2.843,3.696,2.701,2.843,1
Positive_24,2.041,4.082,0.0,2.041,11.224,3.061,4.082,1.31,2.621,0.0,0.245,0.724,0.122,0.286,0.327,0.255,0.408,0.247,0.031,0.216,0.227,0.175,0.186,4.082,1.901,0.0,0.95,5.227,1.425,1.901,1
Positive_199,3.782,3.361,3.361,5.672,7.773,5.672,9.664,3.42,3.039,3.039,0.294,0.773,0.111,0.324,0.391,0.359,0.391,0.225,0.032,0.162,0.217,0.187,0.175,1.05,1.775,1.775,2.996,4.106,2.996,5.104,1
Negative_148,5.814,5.814,2.326,3.488,5.814,4.651,5.814,7.425,7.425,2.971,0.326,0.756,0.14,0.267,0.349,0.326,0.384,0.247,0.047,0.212,0.282,0.188,0.212,8.14,2.935,1.174,1.761,2.935,2.348,2.935,0
Negative_206,5.363,4.101,4.416,8.202,7.256,5.678,3.47,3.657,2.796,3.011,0.227,0.719,0.161,0.227,0.312,0.407,0.293,0.288,0.019,0.228,0.253,0.18,0.222,1.262,2.043,2.2,4.087,3.615,2.829,1.729,0
Negative_126,1.837,6.299,1.312,1.575,4.462,13.911,8.399,1.064,3.649,0.76,0.304,0.724,0.163,0.428,0.504,0.315,0.446,0.263,0.021,0.258,0.155,0.095,0.15,0.787,3.306,0.689,0.827,2.342,7.301,4.408,0
Positive_60,5.201,4.965,0.473,8.511,7.565,4.019,4.492,6.013,5.74,0.547,0.203,0.747,0.144,0.326,0.381,0.397,0.374,0.318,0.036,0.223,0.254,0.197,0.213,0.709,2.478,0.236,4.248,3.776,2.006,2.242,1
Negative_30,0.595,3.77,2.579,4.762,1.389,6.746,6.349,0.267,1.689,1.156,0.266,0.855,0.071,0.345,0.409,0.365,0.397,0.157,0.026,0.093,0.141,0.165,0.115,0.595,2.059,1.408,2.6,0.758,3.684,3.467,0
Positive_155,3.289,5.263,1.974,6.579,6.579,3.947,4.605,4.288,6.862,2.574,0.204,0.743,0.138,0.27,0.342,0.382,0.322,0.318,0.04,0.205,0.272,0.219,0.225,1.974,2.526,0.948,3.158,3.158,1.895,2.211,1
Negative_127,1.592,6.051,3.503,2.866,4.459,3.822,12.102,1.716,6.524,3.777,0.29,0.812,0.083,0.382,0.478,0.283,0.427,0.265,0.013,0.141,0.233,0.169,0.214,0.637,3.017,1.747,1.429,2.224,1.906,6.035,0
Positive_12,2.888,6.459,0.912,5.547,4.939,4.787,4.103,2.415,5.401,0.763,0.208,0.718,0.148,0.306,0.38,0.381,0.353,0.343,0.037,0.227,0.255,0.188,0.224,0.152,3.104,0.438,2.666,2.374,2.301,1.972,1
